CID,CRPName,Party
N00034296,"Aalders, Tim",3
N00040877,"Aarestad, David",D
N00040419,"Abatecola, Bill",R
N00041028,"Abboud, Deedra",D
N00040725,"Abdulahi, Jamal",D
N00041944,"Abel, Kevin",D
N00043353,"Abentroth, Tiffany",R
N00036633,"Abraham, Ralph",R
N00041156,"Abrams, John",D
N00040686,"Abroms, David",R
N00039682,"Accavitti, Frank Jr",D
N00042673,"Achille, Carl",D
N00039865,"Acker, Brandon W.",D
N00041927,"Ackison, Melissa",R
N00043146,"Adadi, Elizabeth",R
N00040972,"Adair, Glenn",L
N00035451,"Adams, Alma",D
N00040808,"Adams, Ann Marie",D
N00037273,"Adams, David",R
N00040736,"Adams, Denise Darcel",D
N00041964,"Adams, Dion",D
N00041029,"Adams, Donald",I
N00032432,"Adams, John",R
N00041420,"Adams, Kimberly",D
N00043410,"Adams, Timothy",3
N00041289,"Addis, Paul",R
N00043235,"Addis, Paul David",R
N00041292,"Adeluola, Folasade",D
N00003028,"Aderholt, Robert B",R
N00040978,"Adia, Vanessa",D
N00041539,"Agnew, Eric",I
N00033997,"Aguilar, Pete",D
N00043656,"Aguilera, Justin",R
N00042925,"Aguin, Bert",L
N00042202,"Ahmad, Nina",D
N00039752,"Ahmed, Kaisar",D
N00040650,"Ahn, Jason",D
N00040776,"Ahn, Poga",D
N00040654,"Ahn, Robert Lee",D
N00041217,"Ainge, Tanner",R
N00043155,"Akinkugbe, Femi",R
N00041939,"Akins, Bill",R
N00040917,"Akzam, Johnny",I
N00043455,"Albert, Dan",R
N00039147,"Albertson, Ed",D
N00041821,"Albro, Catherine",D
N00008598,"Alciere, Tom",L
N00030533,"Aldrich, Charles",L
N00041219,"Aldrich, Deborah",R
N00040862,"Alemayhu, Ted",3
N00041885,"Alexander, Sherrill Kenneth",R
N00042610,"Alexander, Sophia",I
N00043487,"Ali, Ali Chehem",D
N00042718,"Ali, Mark",D
N00042055,"Allen, Chad",R
N00040887,"Allen, Kathleen",D
N00040768,"Allen, Kathryn",D
N00033720,"Allen, Richard W",R
N00041451,"Allen, Samuel",D
N00041205,"Allen, Todd",D
N00040771,"Alli, Helen",I
N00042721,"Allison, Chaz Anthony",R
N00042656,"Allison, Roger",R
N00041768,"Allman, Michael",R
N00042876,"Allocco, Patrick",R
N00040989,"Allred, Colin",D
N00036337,"Alm, Vance",D
N00042842,"Alspach, James Dean",R
N00043292,"Altman, Nathan J",I
N00031938,"Amash, Justin",R
N00041475,"Amason, Tommy",R
N00042135,"Amatul-Wadud, Tahirah",D
N00041540,"Amjad, Ayne",R
N00031177,"Amodei, Mark",R
N00007929,"Amundson, Thor",I
N00042264,"Andarza, Ivan",R
N00043511,"Anderson Kelliher, Margaret",D
N00042761,"Anderson, Bob",R
N00041777,"Anderson, Bryan Neil",D
N00043625,"Anderson, Consuelo E",R
N00041674,"Anderson, Jeramey",D
N00032090,"Anderson, John",R
N00043486,"Anderson, Merrill",R
N00043589,"Anderson, Rae Hart",R
N00042640,"Anderson, Robert Jon",I
N00042186,"Andrei, Linda",D
N00043345,"Andres, Ed",D
N00042570,"Andreski, Thad",I
N00043441,"Andrews, Naomi",D
N00043884,"Andrus, Aaron",L
N00027581,"Angle, Sharron",R
N00042052,"Angry, Travis",R
N00040955,"Anthony, Aaron",D
N00043165,"Anthony, Charles",R
N00041380,"Anthony, Stavros",R
N00042180,"Anzalone, John",D
N00042653,"Apple, Winston",D
N00042951,"Applebaum, Robert",L
