,chamber,member_name,party,net_worth_2010,net_worth_2011,2011_net_increase,net_worth_2012,2012_net_increase,net_worth_2013,2013_net_increase,net_worth_2014,2014_net_increase,net_worth_2015,2015_net_increase,net_worth_2016,2016_net_increase,defense_friendliness_rating_2010,defense_friendliness_rating_2012,defense_friendliness_rating_2014,defense_friendliness_rating_2016,energy_friendliness_rating_2010,energy_friendliness_rating_2012,energy_friendliness_rating_2014,energy_friendliness_rating_2016,tech_comm_friendliness_rating_2010,tech_comm_friendliness_rating_2012,tech_comm_friendliness_rating_2014,tech_comm_friendliness_rating_2016,health_friendliness_rating_2010,health_friendliness_rating_2012,health_friendliness_rating_2014,health_friendliness_rating_2016,finance_friendliness_rating_2010,finance_friendliness_rating_2012,finance_friendliness_rating_2014,finance_friendliness_rating_2016,2010_friendliness_avg,2012_friendliness_avg,2014_friendliness_avg,2016_friendliness_avg
0,House,"Issa, Darrell",R,448125017.0,480325019.0,7.185495292265729,464115018.0,-3.374798388338793,448425019.0,-3.3806272995889133,436500015.0,-2.659308355852464,330050015.0,-24.387169837783397,323782513.0,-1.898955223498475,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.8,4.4,4.2,4.0
1,House,"McCaul, Michael",R,380411527.0,500624461.0,31.600760089480673,143153910.0,-71.4049310107522,162882467.0,13.781360914277506,160340931.0,-1.5603496477002647,4150505.0,-97.41145010565019,0.0,-100.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.2,4.0,4.2,4.2
2,House,"Harman, Jane",D,326844751.0,,,,,,,,,,,,,5.0,,,,3.0,,,,4.0,,,,2.0,,,,4.0,,,,3.6,,,
3,Senate,"Kerry, John",D,231722794.0,,,,,,,,,,,,,3.0,1.0,1.0,,3.0,1.0,1.0,,5.0,4.0,1.0,,4.0,2.0,1.0,,4.0,2.0,1.0,,3.8,2.0,1.0,
4,Senate,"Warner, Mark",D,192730605.0,228129609.0,18.367090167127323,257481658.0,12.86639166597616,254176651.0,-1.283589295514013,242889630.0,-4.440620708312031,238157630.0,-1.948209975040927,245680083.0,3.1586025608333435,4.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.4,5.0,3.8
5,Senate,"Kohl, Herb",D,173538010.0,171257008.0,-1.3144106008821927,329913009.0,92.64204884392234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,House,"Polis, Jared",D,143218562.0,214946679.0,50.08297527802297,198695705.0,-7.560467589266638,216269215.0,8.844433753613345,387864231.0,79.34324633304837,313556221.0,-19.158252826876424,308189229.0,-1.7116522143567996,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,1.4,2.2,2.0,2.25
7,House,"Buchanan, Vernon",R,117370139.0,95327629.0,-18.78033900939659,82802065.0,-13.139489706599122,98210549.0,18.60881609655508,106912071.0,8.860068585911275,115534558.0,8.065026632960839,0.0,-100.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.4,3.4,3.0,3.2
8,House,"Pelosi, Nancy",D,101123032.0,93987532.0,-7.0562559872611414,87997030.0,-6.373719867439438,100864528.0,14.622650332630544,101273023.0,0.4049937159275658,100643521.0,-0.6215890286991828,58412517.0,-41.960976305668005,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.6,4.4,4.0,4.0
9,Senate,"Rockefeller, Jay",D,99057011.0,102706012.0,3.683738246452843,101290514.0,-1.3782036440086876,110710014.0,9.299488795169902,,,,,,,3.0,2.0,1.0,,3.0,2.0,1.0,,4.0,5.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.4,2.2,1.0,
10,House,"Grayson, Alan",D,93896519.0,54823540.0,-41.61280888378833,40362024.0,-26.37829662221739,64375031.0,59.494060555536066,60090023.0,-6.65631990142265,23668014.0,-60.61240648884425,,,,,2.0,1.0,1.0,,1.0,1.0,4.0,,3.0,4.0,3.0,,1.0,3.0,4.0,,2.0,2.0,3.0,,1.8,2.2
11,Senate,"Lautenberg, Frank",D,85572116.0,87557109.0,2.3196726840317936,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,1.2,1.0,1.0,
12,Senate,"Blumenthal, Richard",D,73151590.0,100115673.0,36.86055627772411,110426705.0,10.299118700425657,99581170.0,-9.821478418648823,81745158.0,-17.911028761762893,81745158.0,0.0,0.0,-100.0,,3.0,3.0,5.0,,1.0,3.0,4.0,,3.0,5.0,5.0,,2.0,3.0,5.0,,2.0,4.0,5.0,,2.2,3.6,4.8
13,Senate,"Feinstein, Dianne",D,69046622.0,70725124.0,2.430969034227337,68446578.0,-3.221692478050657,77235068.0,12.839926051525907,94202571.0,21.96865159748419,79067057.0,-16.06698611230048,0.0,-100.0,4.0,5.0,1.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,2.0,4.0,5.0,1.0,1.0,4.2,5.0,1.2,2.8
14,Senate,"Corker, Bob",R,59550022.0,45289509.0,-23.947116257992317,49114509.0,8.445664535687502,56862564.0,15.775491107933096,45475031.0,-20.02641491860972,69450025.0,52.72122629229214,64967523.0,-6.4542842137205865,3.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,3.0,5.0,5.0,2.0,3.0,3.8,4.8,1.2,1.8
15,Senate,"Risch, James",R,54096026.0,53442028.0,-1.2089575674190929,53533528.0,0.17121356247932806,53630527.0,0.1811929899333367,53400024.0,-0.4297981259814955,54705527.0,2.444761073515622,43302025.0,-20.845246587241544,1.0,1.0,4.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.2,1.6,3.8,1.2
16,House,"Marchant, Kenny",R,49340275.0,23304732.0,-52.76732446262207,15945324.0,-31.579028671087055,7900076.0,-50.45521809403183,15786586.0,99.82828013300126,24227975.0,53.47190963264635,24660721.0,1.7861418463573617,,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.5,3.0,3.0,2.8
17,Senate,"Johnson, Ron",R,46949014.0,23755008.0,-49.40254123334731,24442007.0,2.892017548468096,36840507.0,50.726194456944555,36783507.0,-0.15472099773219733,36683007.0,-0.2732202777728616,27608007.0,-24.738975188157287,,1.0,2.0,5.0,,1.0,3.0,5.0,,1.0,4.0,5.0,,2.0,3.0,5.0,,2.0,4.0,5.0,,1.4,3.2,5.0
18,House,"Miller, Gary",R,46008028.0,44517529.0,-3.2396498280691364,46542523.0,4.548756513417445,80335533.0,72.60674287038543,,,69286033.0,,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,4.0,5.0,4.0,,2.25,2.4,1.6,
19,House,"Frelinghuysen, Rodney",R,42900594.0,47990593.0,11.864635254234475,45402595.0,-5.392719360646367,48848590.0,7.589863530928133,52884604.0,8.2622937530029,54265604.0,2.6113460166970337,0.0,-100.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.8,3.4,3.4,4.2
20,House,"Renacci, James",R,42060709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,House,"Lowey, Nita",D,41210018.0,36633517.0,-11.105311820053075,34290511.0,-6.395798688943789,31965011.0,-6.781759536916788,36123011.0,13.007972998976914,33023010.0,-8.581790150328276,29980510.0,-9.213272805840534,,4.0,5.0,4.0,2.0,1.0,1.0,,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.5,3.4,3.8,4.0
22,House,"Kelly, Mike",R,34612518.0,19266515.0,-44.33656921464079,14063570.0,-27.005117427827503,17295074.0,22.977835642016927,17722076.0,2.468922653930246,18608572.0,5.002213059011822,20032575.0,7.652403419241412,,2.0,3.0,3.0,,4.0,5.0,5.0,,3.0,4.0,3.0,,2.0,4.0,4.0,,2.0,4.0,4.0,,2.6,4.0,3.8
23,House,"Franks, Trent",R,33925002.0,33925002.0,0.0,33185001.0,-2.181285059319967,33175002.0,-0.030131082412804506,33175002.0,0.0,33175002.0,0.0,29800001.0,-10.173325686611866,4.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,2.4,2.4,2.2
24,House,"Berg, Richard",R,33562590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,House,"Black, Diane",R,31272522.0,64744035.0,107.03170342321609,69569042.0,7.452434807314681,41915544.0,-39.749717985192326,77755592.0,85.50538673671991,75306048.0,-3.1503123273757594,84034052.0,11.590043870048792,,3.0,3.0,3.0,,4.0,4.0,3.0,,3.0,3.0,3.0,,5.0,5.0,5.0,,5.0,4.0,4.0,,4.0,3.8,3.6
26,House,"Maloney, Carolyn",D,28605505.0,28622007.0,0.057688196729965086,28346508.0,-0.9625425638390768,22912009.0,-19.171670104832668,26522008.0,15.755925200622958,29536009.0,11.364150859165715,28529023.0,-3.4093502612353617,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,3.8,2.6,2.4,2.8
27,House,"Petri, Tom",R,28106012.0,27470511.0,-2.2610856353437834,25638511.0,-6.668969499693691,41778011.0,62.95022359137783,,,,,,,3.0,3.0,2.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.8,1.4,1.2,
28,House,"Hanna, Richard",R,27837562.0,26579067.0,-4.520852077491557,28038576.0,5.491197264373501,28013584.0,-0.08913434120192125,29111082.0,3.91773505310852,26909581.0,-7.562415577682753,,,,2.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,4.0,3.0,1.0,,2.4,2.2,1.0
29,Senate,"McConnell, Mitch",R,27213024.0,27306524.0,0.3435854831862861,22798526.0,-16.508867990667724,30402026.0,33.350840313097436,22164529.0,-27.09522385119992,26927535.0,21.489317458539272,26678035.0,-0.9265608604723752,3.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.8
30,House,"Farenthold, Blake",R,26654549.0,24047548.0,-9.78069822153059,4203046.0,-82.52193529252962,6933423.0,64.96186337242086,6601787.0,-4.7831496794584725,5789824.0,-12.299139611744517,5400330.0,-6.727216578604117,,1.0,1.0,1.0,,4.0,4.0,4.0,,1.0,4.0,4.0,,2.0,3.0,2.0,,3.0,3.0,2.0,,2.2,3.0,2.6
31,Senate,"McCaskill, Claire",D,26511109.0,21837606.0,-17.62847038952614,20969104.0,-3.977093459786755,23410107.0,11.640950419245382,75561854.0,222.77449223106927,60075756.0,-20.494597710638494,61903746.0,3.042808150429268,4.0,4.0,,1.0,4.0,5.0,1.0,2.0,4.0,5.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,5.0,1.0,2.0,3.8,4.8,1.25,2.2
32,House,"Pearce, Steve",R,22639007.0,20364007.0,-10.049027327037798,22614007.0,11.048906042902068,22182007.0,-1.910320448737811,22206507.0,0.11044987949016516,22022508.0,-0.8285814603800589,21972008.0,-0.22931084870079285,,3.0,3.0,3.0,,5.0,5.0,5.0,,1.0,2.0,2.0,,1.0,1.0,2.0,,4.0,4.0,4.0,,2.8,3.0,3.2
33,Senate,"Alexander, Lamar",R,22538024.0,12415524.0,-44.91298793541084,2627024.0,-78.84081251826342,22361024.0,751.1922235959778,13221018.0,-40.87472022748153,16667518.0,26.068340577102305,14228020.0,-14.636240380841347,2.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,1.0,1.4,1.4,5.0,1.4
34,House,"Jr, John",D,22213007.0,-120001.0,-100.54022852466575,-45000.0,-62.50031249739586,,,-45000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,House,"Jr, John",D,-120001.0,-120001.0,-0.0,-45000.0,-62.50031249739586,,,-45000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,House,"Rigell, Scott",R,21969526.0,29494036.0,34.24976032710036,38247537.0,29.678884910834174,33113028.0,-13.424417368365447,33287032.0,0.5254850145386885,22993527.0,-30.923468935289876,,,,5.0,5.0,4.0,,3.0,3.0,1.0,,3.0,3.0,1.0,,4.0,2.0,1.0,,4.0,3.0,2.0,,3.8,3.2,1.8
37,Senate,"Hoeven, John",R,21622050.0,22073031.0,2.0857458011613144,37115538.0,68.14880566243939,38665535.0,4.17614046171175,45570040.0,17.85700107343659,45646564.0,0.16792611988051798,46115062.0,1.0263598372924632,,3.0,1.0,5.0,,4.0,4.0,5.0,,1.0,1.0,4.0,,1.0,1.0,3.0,,1.0,1.0,4.0,,2.0,1.6,4.2
38,House,"Campbell, John",R,20731033.0,21597549.0,4.179801363492113,21959030.0,1.6737130680893466,25996514.0,18.38644056681921,,,25332020.0,,,,2.0,3.0,1.0,,1.0,1.0,1.0,,3.0,3.0,1.0,,3.0,2.0,1.0,,5.0,5.0,2.0,,2.8,2.8,1.2,
39,Senate,"Hagan, Kay",D,20680333.0,18124285.0,-12.359800976125483,24069791.0,32.80408578876353,29007831.0,20.515508422985476,,,,,,,3.0,4.0,5.0,,2.0,2.0,5.0,,2.0,5.0,5.0,,4.0,5.0,5.0,,2.0,5.0,5.0,,2.6,4.2,5.0,
40,Senate,"Snowe, Olympia",R,19348026.0,14173029.0,-26.746899141028653,14598028.0,2.998646231514802,,,,,,,,,2.0,4.0,,,2.0,4.0,,,4.0,5.0,,,4.0,5.0,,,2.0,5.0,,,2.8,4.6,,
41,House,"Jr, F.",R,18730850.0,19574234.0,4.502646703166167,18558166.0,-5.190844249639603,23287491.0,25.48379511208166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,House,"Foster, Bill",D,18196011.0,17891011.0,-1.6761915564900463,17715510.0,-0.9809451237831109,18790510.0,6.06812900108436,20443017.0,8.794370136840351,20910516.0,2.2868395599338394,21770517.0,4.112767948911447,,,3.0,3.0,4.0,,3.0,3.0,5.0,,4.0,4.0,4.0,,3.0,4.0,5.0,,5.0,5.0,4.5,,3.6,3.8
43,House,"Kennedy, Patrick",D,18107502.0,,,,,,,,,,,,,4.0,,,,1.0,,,,1.0,,,,3.0,,,,2.0,,,,2.2,,,
44,House,"Lee, Christopher",R,17849160.0,,,,,,,,,,,,,,1.0,,,3.0,1.0,,,3.0,1.0,,,4.0,1.0,,,5.0,1.0,,,3.75,1.0,,
45,House,"DeLauro, Rosa",D,16626008.0,15934508.0,-4.159146320632109,15834507.0,-0.6275750716620808,15492504.0,-2.1598588449896168,15213004.0,-1.8040982916641493,15301005.0,0.5784590604196252,15914503.0,4.009527478750579,,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.75,2.6,2.2,2.4
46,Senate,"Harkin, Tom",D,16597062.0,16012060.0,-3.524732268879878,18039060.0,12.659208121878136,18214056.0,0.9700948940798468,,,,,,,3.0,2.0,,,2.0,1.0,1.0,,3.0,1.0,,,5.0,5.0,1.0,,2.0,2.0,1.0,,3.0,2.2,1.0,
47,House,"Upton, Fred",R,16288608.0,15878109.0,-2.5201601020787043,18330586.0,15.44564910090994,32496598.0,77.28073723338686,42743592.0,31.5325130341336,,,33179590.0,,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.5,4.6,4.6,4.6
48,Senate,"Bingaman, Jeff",D,16251135.0,10472583.0,-35.55783642188684,10842031.0,3.5277638763999293,,,,,,,,,3.0,1.0,,,5.0,1.0,,,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,,2.4,1.0,,
49,Senate,"McCain, John",R,16017639.0,9237110.0,-42.331638264540736,11675562.0,26.39842981192169,20594578.0,76.39046411641684,19642067.0,-4.625057138825569,18943085.0,-3.5585969643622537,14761062.0,-22.076778940705804,5.0,1.0,2.0,5.0,5.0,1.0,4.0,5.0,5.0,,4.0,5.0,5.0,1.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.4,5.0
50,House,"Griffith, Parker",R,16011017.0,,,,,,,,,,,,,5.0,,,,4.0,,,,4.0,,,,5.0,,,,2.0,,,,4.0,,,
51,House,"Hayworth, Nan",R,15905120.0,20817633.0,30.886362378906917,,,,,,,,,,,,2.0,,,,4.0,,,,3.0,,,,5.0,,,,5.0,,,,3.8,,
52,House,"Doggett, Lloyd",D,15008544.0,15533044.0,3.4946760991605847,21008542.0,35.250643724436756,22637031.0,7.751556485928438,26152032.0,15.527659082147302,24679029.0,-5.632460988117482,24678529.0,-0.0020260116392747866,,,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.25,2.2,2.0
53,House,"Lummis, Cynthia",R,14822011.0,15397011.0,3.8793656272418096,14410011.0,-6.410335096857435,15031012.0,4.3095109365287785,11155006.0,-25.786726801894645,12255507.0,9.865534810111264,,,2.0,1.0,1.0,,5.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.6,2.2,1.8,1.5
54,House,"Berkley, Shelley",D,13662359.0,15415229.0,12.829921977602844,13864538.0,-10.059474302976621,,,,,,,,,,3.0,,,3.0,4.0,,,4.0,5.0,,,5.0,5.0,,,4.0,5.0,,,4.0,4.4,,
55,House,"Linder, John",R,13100002.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
