,CID,Name,Party,last_name,first_name,crp_web_format,2016_assets_link,2016_liabilities_link,2015_assets_link,2015_liabilities_link,2014_assets_link,2014_liabilities_link,2013_assets_link,2013_liabilities_link,2012_assets_link,2012_liabilities_link,2011_assets_link,2011_liabilities_link,2010_assets_link,2010_liabilities_link
0,N00036633,"Abraham, Ralph",R,Abraham,Ralph,Ralph-Abraham,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2016,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2015,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2014,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2013,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2012,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2011,https://www.opensecrets.org/personal-finances/assets/Ralph-Abraham.csv?cid=N00036633&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Ralph-Abraham.csv?cid=N00036633&year=2010
1,N00035451,"Adams, Alma",D,Adams,Alma,Alma-Adams,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2016,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2015,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2014,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2013,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2012,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2011,https://www.opensecrets.org/personal-finances/assets/Alma-Adams.csv?cid=N00035451&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Alma-Adams.csv?cid=N00035451&year=2010
2,N00033997,"Aguilar, Pete",D,Aguilar,Pete,Pete-Aguilar,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2016,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2015,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2014,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2013,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2012,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2011,https://www.opensecrets.org/personal-finances/assets/Pete-Aguilar.csv?cid=N00033997&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Pete-Aguilar.csv?cid=N00033997&year=2010
3,N00040989,"Allred, Colin",D,Allred,Colin,Colin-Allred,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2016,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2015,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2014,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2013,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2012,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2011,https://www.opensecrets.org/personal-finances/assets/Colin-Allred.csv?cid=N00040989&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Colin-Allred.csv?cid=N00040989&year=2010
4,N00031938,"Amash, Justin",R,Amash,Justin,Justin-Amash,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2016,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2015,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2014,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2013,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2012,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2011,https://www.opensecrets.org/personal-finances/assets/Justin-Amash.csv?cid=N00031938&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Justin-Amash.csv?cid=N00031938&year=2010
5,N00031177,"Amodei, Mark",R,Amodei,Mark,Mark-Amodei,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2016,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2015,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2014,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2013,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2012,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2011,https://www.opensecrets.org/personal-finances/assets/Mark-Amodei.csv?cid=N00031177&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Mark-Amodei.csv?cid=N00031177&year=2010
6,N00042868,"Armstrong, Kelly",R,Armstrong,Kelly,Kelly-Armstrong,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2016,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2015,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2014,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2013,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2012,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2011,https://www.opensecrets.org/personal-finances/assets/Kelly-Armstrong.csv?cid=N00042868&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Kelly-Armstrong.csv?cid=N00042868&year=2010
7,N00038285,"Arrington, Jodey",R,Arrington,Jodey,Jodey-Arrington,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2016,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2015,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2014,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2013,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2012,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2011,https://www.opensecrets.org/personal-finances/assets/Jodey-Arrington.csv?cid=N00038285&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Jodey-Arrington.csv?cid=N00038285&year=2010
8,N00005736,"Babin, Brian",R,Babin,Brian,Brian-Babin,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2016,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2015,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2014,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2013,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2012,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2011,https://www.opensecrets.org/personal-finances/assets/Brian-Babin.csv?cid=N00005736&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Brian-Babin.csv?cid=N00005736&year=2010
9,N00042194,"Balderson, Troy",R,Balderson,Troy,Troy-Balderson,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2016,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2016,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2015,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2015,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2014,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2014,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2013,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2013,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2012,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2012,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2011,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2011,https://www.opensecrets.org/personal-finances/assets/Troy-Balderson.csv?cid=N00042194&year=2010,https://www.opensecrets.org/personal-finances/liabilities/Troy-Balderson.csv?cid=N00042194&year=2010
