,CID,Name,Party,last_name,first_name,crp_web_format
0,N00036633,"Abraham, Ralph",R,Abraham,Ralph,Ralph-Abraham
1,N00035451,"Adams, Alma",D,Adams,Alma,Alma-Adams
2,N00033997,"Aguilar, Pete",D,Aguilar,Pete,Pete-Aguilar
3,N00040989,"Allred, Colin",D,Allred,Colin,Colin-Allred
4,N00031938,"Amash, Justin",R,Amash,Justin,Justin-Amash
5,N00031177,"Amodei, Mark",R,Amodei,Mark,Mark-Amodei
6,N00042868,"Armstrong, Kelly",R,Armstrong,Kelly,Kelly-Armstrong
7,N00038285,"Arrington, Jodey",R,Arrington,Jodey,Jodey-Arrington
8,N00005736,"Babin, Brian",R,Babin,Brian,Brian-Babin
9,N00042194,"Balderson, Troy",R,Balderson,Troy,Troy-Balderson
10,N00004367,"Baldwin, Tammy",D,Baldwin,Tammy,Tammy-Baldwin
11,N00037185,"Banks, Jim",R,Banks,Jim,Jim-Banks
12,N00041457,"Banks, Jim",R,Banks,Jim,Jim-Banks
13,N00031233,"Barr, Andy",R,Barr,Andy,Andy-Barr
14,N00031877,"Bass, Karen",D,Bass,Karen,Karen-Bass
15,N00033904,"Beatty, Joyce",D,Beatty,Joyce,Joyce-Beatty
16,N00030717,"Bera, Ami",D,Bera,Ami,Ami-Bera
17,N00036018,"Beyer, Don",D,Beyer,Don,Don-Beyer
18,N00039293,"Biggs, Andy",R,Biggs,Andy,Andy-Biggs
19,N00025292,"Bishop, Rob",R,Bishop,Rob,Rob-Bishop
20,N00003105,"Blackburn, Marsha",R,Blackburn,Marsha,Marsha-Blackburn
21,N00007727,"Blumenauer, Earl",D,Blumenauer,Earl,Earl-Blumenauer
22,N00033474,"Bonamici, Suzanne",D,Bonamici,Suzanne,Suzanne-Bonamici
23,N00035420,"Bost, Mike",R,Bost,Mike,Mike-Bost
24,N00035307,"Boyle, Brendan",D,Boyle,Brendan,Brendan-Boyle
25,N00005883,"Brady, Kevin",R,Brady,Kevin,Kevin-Brady
26,N00041731,"Braun, Mike",R,Braun,Mike,Mike-Braun
27,N00041385,"Brindisi, Anthony",D,Brindisi,Anthony,Anthony-Brindisi
28,N00030910,"Brooks, Mo",R,Brooks,Mo,Mo-Brooks
29,N00036999,"Brown, Anthony",D,Brown,Anthony,Anthony-Brown
30,N00003535,"Brown, Sherrod",D,Brown,Sherrod,Sherrod-Brown
31,N00034254,"Brownley, Julia",D,Brownley,Julia,Julia-Brownley
32,N00030829,"Buck, Ken",R,Buck,Ken,Ken-Buck
33,N00031227,"Bucshon, Larry",R,Bucshon,Larry,Larry-Bucshon
34,N00039551,"Budd, Ted",R,Budd,Ted,Ted-Budd
35,N00041594,"Burchett, Tim",R,Burchett,Tim,Tim-Burchett
36,N00025219,"Burgess, Michael",R,Burgess,Michael,Michael-Burgess
37,N00033390,"Bustos, Cheri",D,Bustos,Cheri,Cheri-Bustos
38,N00035380,"Byrne, Bradley",R,Byrne,Bradley,Bradley-Byrne
39,N00007099,"Calvert, Ken",R,Calvert,Ken,Ken-Calvert
40,N00007836,"Cantwell, Maria",D,Cantwell,Maria,Maria-Cantwell
41,N00037015,"Carbajal, Salud",D,Carbajal,Salud,Salud-Carbajal
42,N00035346,"Carter, Buddy",R,Carter,Buddy,Buddy-Carter
43,N00025095,"Carter, John",R,Carter,John,John-Carter
44,N00034128,"Cartwright, Matt",D,Cartwright,Matt,Matt-Cartwright
45,N00025882,"Case, Ed",D,Case,Ed,Ed-Case
46,N00041338,"Casten, Sean",D,Casten,Sean,Sean-Casten
47,N00027514,"Castor, Kathy",D,Castor,Kathy,Kathy-Castor
48,N00033316,"Castro, Joaquin",D,Castro,Joaquin,Joaquin-Castro
49,N00003689,"Chabot, Steve",R,Chabot,Steve,Steve-Chabot
50,N00035504,"Cheney, Liz",R,Cheney,Liz,Liz-Cheney
51,N00030600,"Chu, Judy",D,Chu,Judy,Judy-Chu
52,N00032019,"Cicilline, David",D,Cicilline,David,David-Cicilline
53,N00035278,"Clark, Katherine",D,Clark,Katherine,Katherine-Clark
54,N00026790,"Cleaver, Emanuel",D,Cleaver,Emanuel,Emanuel-Cleaver
55,N00042296,"Cline, Ben",R,Cline,Ben,Ben-Cline
56,N00041882,"Cloud, Michael",R,Cloud,Michael,Michael-Cloud
57,N00003225,"Cohen, Steve",D,Cohen,Steve,Steve-Cohen
58,N00025726,"Cole, Tom",R,Cole,Tom,Tom-Cole
59,N00001285,"Collins, Chris",R,Collins,Chris,Chris-Collins
60,N00033518,"Collins, Doug",R,Collins,Doug,Doug-Collins
61,N00038260,"Comer, James",R,Comer,James,James-Comer
62,N00034224,"Cook, Paul",R,Cook,Paul,Paul-Cook
63,N00003132,"Cooper, Jim",D,Cooper,Jim,Jim-Cooper
64,N00026341,"Costa, Jim",D,Costa,Jim,Jim-Costa
65,N00024842,"Courtney, Joe",D,Courtney,Joe,Joe-Courtney
66,N00028122,"Cox, TJ",D,Cox,TJ,TJ-Cox
67,N00037039,"Craig, Angie",D,Craig,Angie,Angie-Craig
68,N00004614,"Cramer, Kevin",R,Cramer,Kevin,Kevin-Cramer
69,N00030770,"Crawford, Rick",R,Crawford,Rick,Rick-Crawford
70,N00042224,"Crenshaw, Dan",R,Crenshaw,Dan,Dan-Crenshaw
71,N00002942,"Crist, Charlie",D,Crist,Charlie,Charlie-Crist
72,N00040876,"Crow, Jason",D,Crow,Jason,Jason-Crow
73,N00033085,"Cruz, Ted",R,Cruz,Ted,Ted-Cruz
74,N00024978,"Cuellar, Henry",D,Cuellar,Henry,Henry-Cuellar
75,N00041400,"Cunningham, Joe",D,Cunningham,Joe,Joe-Cunningham
76,N00042626,"Davids, Sharice",D,Davids,Sharice,Sharice-Davids
77,N00038767,"Davidson, Warren",R,Davidson,Warren,Warren-Davidson
78,N00034784,"Davis, Rodney",R,Davis,Rodney,Rodney-Davis
