Candidate,Amount
"Blunt, Roy (R-MO)","$822,279"
"Boucher, Rick (D-VA)","$616,142"
"Boehner, John (R-OH)","$564,650"
"Barton, Joe (R-TX)","$487,220"
"Upton, Fred (R-MI)","$377,450"
"Edwards, Chet (D-TX)","$365,086"
"Kirk, Mark (R-IL)","$362,020"
"Hoyer, Steny H (D-MD)","$334,500"
"Boren, Dan (D-OK)","$304,050"
"Cantor, Eric (R-VA)","$287,348"
"Ross, Mike (D-AR)","$256,100"
"Dingell, John D (D-MI)","$250,650"
"Murphy, Tim (R-PA)","$249,000"
"Altmire, Jason (D-PA)","$244,650"
"Shimkus, John (R-IL)","$240,900"
"Markey, Ed (D-MA)","$237,750"
"Clyburn, James E (D-SC)","$227,998"
"Sullivan, John (R-OK)","$222,400"
"Camp, Dave (R-MI)","$215,368"
"Teague, Harry (D-NM)","$213,825"
"Matheson, Jim (D-UT)","$213,100"
"Salazar, John (D-CO)","$212,860"
"Moran, Jerry (R-KS)","$205,700"
"Fleming, John (R-LA)","$198,750"
"Conaway, Mike (R-TX)","$196,700"
"Scalise, Steve (R-LA)","$184,335"
"Boustany, Charles Jr (R-LA)","$181,650"
"Melancon, Charles (D-LA)","$179,300"
"Space, Zack (D-OH)","$178,600"
"Lummis, Cynthia (R-WY)","$177,849"
"Boozman, John (R-AR)","$177,620"
"Hastings, Doc (R-WA)","$174,801"
"Pomeroy, Earl (D-ND)","$173,750"
"Capito, Shelley Moore (R-WV)","$170,939"
"Sessions, Pete (R-TX)","$168,970"
"Walden, Greg (R-OR)","$168,750"
"Green, Gene (D-TX)","$163,775"
"Barrow, John (D-GA)","$158,400"
"Tiberi, Pat (R-OH)","$155,350"
"Olson, Pete (R-TX)","$153,380"
"Whitfield, Ed (R-KY)","$149,500"
"Tiahrt, Todd (R-KS)","$146,732"
"Dent, Charlie (R-PA)","$138,700"
"Rehberg, Denny (R-MT)","$136,200"
"Terry, Lee (R-NE)","$135,600"
"Neugebauer, Randy (R-TX)","$135,100"
"Thompson, Glenn (R-PA)","$134,322"
"McCarthy, Kevin (R-CA)","$134,200"
"Cole, Tom (R-OK)","$133,500"
"Granger, Kay (R-TX)","$131,300"
"Simpson, Mike (R-ID)","$130,840"
"Young, Don (R-AK)","$129,300"
"Spratt, John M Jr (D-SC)","$124,550"
"Rogers, Mike (R-MI)","$120,500"
"Bono Mack, Mary (R-CA)","$118,750"
"Ryan, Paul (R-WI)","$118,000"
"McCaul, Michael (R-TX)","$117,600"
"Herseth Sandlin, Stephanie (D-SD)","$113,799"
"Pence, Mike (R-IN)","$110,100"
"Costa, Jim (D-CA)","$109,600"
"Cassidy, Bill (R-LA)","$109,050"
"Schauer, Mark (D-MI)","$107,949"
"Brady, Kevin (R-TX)","$107,850"
"Levin, Sander (D-MI)","$106,025"
"Murphy, Scott (D-NY)","$105,700"
"Doyle, Mike (D-PA)","$105,000"
"Alexander, Rodney (R-LA)","$101,696"
"Halvorson, Deborah (D-IL)","$101,083"
"Hill, Baron (D-IN)","$100,600"
"Critz, Mark (D-PA)","$100,200"
"Burgess, Michael (R-TX)","$100,150"
"Coffman, Mike (R-CO)","$100,125"
"Israel, Steve (D-NY)","$99,450"
"Visclosky, Pete (D-IN)","$99,000"
"Waxman, Henry (D-CA)","$98,800"
"Nunes, Devin (R-CA)","$97,500"
"Minnick, Walt (D-ID)","$97,400"
"Blackburn, Marsha (R-TN)","$97,000"
"Capuano, Michael E (D-MA)","$96,675"
"Butterfield, G K (D-NC)","$94,000"
"Neal, Richard E (D-MA)","$94,000"
"Lucas, Frank D (R-OK)","$93,300"
"Hall, Ralph (R-TX)","$92,708"
"Rahall, Nick (D-WV)","$91,200"
"McNerney, Jerry (D-CA)","$90,900"
"Culberson, John (R-TX)","$90,750"
"Lungren, Dan (R-CA)","$90,600"
"Shuster, Bill (R-PA)","$89,850"
"Cao, Joseph (R-LA)","$89,450"
