Candidate,Amount
"Cochran, Thad (R-MS)","$399,350"
"Durbin, Dick (D-IL)","$326,499"
"Warner, Mark (D-VA)","$222,000"
"Reed, Jack (D-RI)","$221,850"
"Graham, Lindsey (R-SC)","$198,586"
"McConnell, Mitch (R-KY)","$190,150"
"Landrieu, Mary L (D-LA)","$167,340"
"Sessions, Jeff (R-AL)","$163,600"
"Inhofe, James M (R-OK)","$163,399"
"Mikulski, Barbara A (D-MD)","$151,400"
"Udall, Mark (D-CO)","$150,077"
"Cornyn, John (R-TX)","$147,950"
"Collins, Susan M (R-ME)","$124,300"
"Alexander, Lamar (R-TN)","$110,200"
"Shaheen, Jeanne (D-NH)","$109,500"
"Pryor, Mark (D-AR)","$88,834"
"Ayotte, Kelly (R-NH)","$86,100"
"Shelby, Richard C (R-AL)","$83,200"
"Blunt, Roy (R-MO)","$82,766"
"Hagan, Kay R (D-NC)","$79,202"
"Reid, Harry (D-NV)","$75,980"
"Murray, Patty (D-WA)","$75,025"
"Begich, Mark (D-AK)","$67,500"
"Udall, Tom (D-NM)","$58,150"
"Roberts, Pat (R-KS)","$58,000"
"Scott, Tim (R-SC)","$54,199"
"Schumer, Charles E (D-NY)","$53,800"
"Coons, Chris (D-DE)","$51,500"
"Schatz, Brian (D-HI)","$50,600"
"Kaine, Tim (D-VA)","$48,400"
"Risch, James E (R-ID)","$43,527"
"Enzi, Mike (R-WY)","$43,500"
"Portman, Rob (R-OH)","$35,250"
"Merkley, Jeff (D-OR)","$34,500"
"Coats, Dan (R-IN)","$32,500"
"Toomey, Pat (R-PA)","$27,600"
"Booker, Cory (D-NJ)","$25,800"
"Kirk, Mark (R-IL)","$24,409"
"Rubio, Marco (R-FL)","$19,790"
"Thune, John (R-SD)","$19,500"
"Wyden, Ron (D-OR)","$19,500"
"Bennet, Michael (D-CO)","$18,500"
"Blumenthal, Richard (D-CT)","$18,500"
"Gillibrand, Kirsten (D-NY)","$18,500"
"Moran, Jerry (R-KS)","$18,500"
"Markey, Ed (D-MA)","$18,000"
"McCain, John (R-AZ)","$17,500"
"Lee, Mike (R-UT)","$16,250"
"Franken, Al (D-MN)","$16,050"
"Donnelly, Joe (D-IN)","$16,000"
"Johnson, Ron (R-WI)","$15,000"
"Nelson, Bill (D-FL)","$14,528"
"Vitter, David (R-LA)","$12,000"
"Burr, Richard (R-NC)","$11,500"
"Isakson, Johnny (R-GA)","$11,250"
"Fischer, Deb (R-NE)","$11,000"
"Leahy, Patrick (D-VT)","$11,000"
"Murkowski, Lisa (R-AK)","$9,750"
"Heinrich, Martin (D-NM)","$9,500"
"Cardin, Ben (D-MD)","$9,000"
"Heitkamp, Heidi (D-ND)","$9,000"
"Menendez, Robert (D-NJ)","$9,000"
"Boozman, John (R-AR)","$8,500"
"Carper, Tom (D-DE)","$7,160"
"Hirono, Mazie K (D-HI)","$7,000"
"Casey, Bob (D-PA)","$6,500"
"Crapo, Mike (R-ID)","$6,500"
"Warren, Elizabeth (D-MA)","$6,000"
"Paul, Rand (R-KY)","$5,953"
"Hoeven, John (R-ND)","$5,500"
"Klobuchar, Amy (D-MN)","$5,500"
"Barrasso, John A (R-WY)","$5,000"
"Grassley, Chuck (R-IA)","$4,000"
"Flake, Jeff (R-AZ)","$3,750"
"Hatch, Orrin G (R-UT)","$3,500"
"Heller, Dean (R-NV)","$3,500"
"Manchin, Joe (D-WV)","$3,027"
"Wicker, Roger (R-MS)","$2,500"
"Baldwin, Tammy (D-WI)","$2,000"
"Baucus, Max (D-MT)","$2,000"
"Feinstein, Dianne (D-CA)","$2,000"
"King, Angus (I-ME)","$2,000"
"Cruz, Ted (R-TX)","$1,700"
"Cantwell, Maria (D-WA)","$1,250"
"Murphy, Christopher S (D-CT)","$1,000"
"Walsh, John (D-MT)","$1,000"
"Corker, Bob (R-TN)",$620
"Tester, Jon (D-MT)",$500
"Whitehouse, Sheldon (D-RI)",$500
"Johnson, Tim (D-SD)","-$1,000"
