Candidate,Amount
"Boehner, John (R-OH)","$3,398,442"
"Cotton, Tom (R-AR)","$2,545,836"
"Cassidy, Bill (R-LA)","$2,213,235"
"Gardner, Cory (R-CO)","$2,105,820"
"Peters, Gary (D-MI)","$1,861,369"
"Ryan, Paul (R-WI)","$1,713,741"
"Hensarling, Jeb (R-TX)","$1,650,536"
"Cantor, Eric (R-VA)","$1,572,902"
"McCarthy, Kevin (R-CA)","$1,563,044"
"Capito, Shelley Moore (R-WV)","$1,386,106"
"Daines, Steven (R-MT)","$1,302,334"
"Crowley, Joseph (D-NY)","$1,188,443"
"Murphy, Patrick (D-FL)","$1,173,150"
"Garrett, Scott (R-NJ)","$1,158,579"
"Himes, Jim (D-CT)","$1,156,938"
"Stivers, Steve (R-OH)","$1,069,581"
"Royce, Ed (R-CA)","$1,017,968"
"Israel, Steve (D-NY)","$984,292"
"Tiberi, Pat (R-OH)","$968,282"
"Kingston, Jack (R-GA)","$938,204"
"Roskam, Peter (R-IL)","$899,950"
"Maloney, Sean Patrick (D-NY)","$875,497"
"Neugebauer, Randy (R-TX)","$841,367"
"McHenry, Patrick (R-NC)","$831,650"
"Hoyer, Steny H (D-MD)","$828,700"
"Wagner, Ann L (R-MO)","$820,749"
"Kennedy, Joe III (D-MA)","$802,164"
"Delaney, John K (D-MD)","$781,953"
"Fitzpatrick, Michael G (R-PA)","$761,685"
"Schock, Aaron (R-IL)","$759,140"
"Duffy, Sean P (R-WI)","$755,939"
"Reed, Tom (R-NY)","$755,291"
"Paulsen, Erik (R-MN)","$750,750"
"Barr, Andy (R-KY)","$748,923"
"Coffman, Mike (R-CO)","$735,843"
"Perlmutter, Ed (D-CO)","$726,780"
"Sessions, Pete (R-TX)","$701,980"
"Schneider, Brad (D-IL)","$697,081"
"Neal, Richard E (D-MA)","$690,765"
"Ross, Dennis (R-FL)","$627,908"
"Grimm, Michael (R-NY)","$619,376"
"Carney, John (D-DE)","$618,128"
"Maloney, Carolyn B (D-NY)","$593,200"
"Gibson, Chris (R-NY)","$584,574"
"Larson, John B (D-CT)","$582,202"
"Rothfus, Keith J (R-PA)","$571,532"
"Renacci, Jim (R-OH)","$570,559"
"Sinema, Kyrsten (D-AZ)","$560,708"
"Yoder, Kevin (R-KS)","$545,172"
"Huizenga, Bill (R-MI)","$542,430"
"Jenkins, Lynn (R-KS)","$534,544"
"Mulvaney, Mick (R-SC)","$531,211"
"Luetkemeyer, Blaine (R-MO)","$522,231"
"Meeks, Gregory W (D-NY)","$515,483"
"Price, Tom (R-GA)","$512,245"
"Kind, Ron (D-WI)","$507,477"
"Sewell, Terri A (D-AL)","$501,852"
"Hultgren, Randy (R-IL)","$501,577"
"Foster, Bill (D-IL)","$498,550"
"Fincher, Steve (R-TN)","$497,494"
"Brady, Kevin (R-TX)","$496,856"
"Lowey, Nita M (D-NY)","$490,950"
"Peters, Scott (D-CA)","$487,450"
"Garcia, Joe (D-FL)","$484,772"
"Rodgers, Cathy McMorris (R-WA)","$471,057"
"Stutzman, Marlin (R-IN)","$464,100"
"Hurt, Robert (R-VA)","$462,499"
"Sanford, Mark (R-SC)","$461,110"
"Davis, Rodney (R-IL)","$451,480"
"Lankford, James (R-OK)","$449,339"
"Heck, Dennis (D-WA)","$444,889"
"Young, Todd (R-IN)","$439,600"
"Scalise, Steve (R-LA)","$439,550"
"Waters, Maxine (D-CA)","$439,470"
"Kline, John (R-MN)","$434,223"
"Walden, Greg (R-OR)","$430,139"
"Becerra, Xavier (D-CA)","$429,749"
"Moore, Gwen (D-WI)","$425,600"
"Bera, Ami (D-CA)","$425,028"
"Maffei, Dan (D-NY)","$424,557"
"Nunes, Devin (R-CA)","$416,300"
"Camp, Dave (R-MI)","$414,710"
"Lynch, Stephen F (D-MA)","$413,394"
"Boustany, Charles Jr (R-LA)","$407,504"
"Clyburn, James E (D-SC)","$406,961"
"Scott, David (D-GA)","$405,510"
"Barrow, John (D-GA)","$399,921"
"Meehan, Patrick (R-PA)","$390,715"
"Sherman, Brad (D-CA)","$385,060"
"Williams, Roger (R-TX)","$368,698"
