Candidate,Amount
"Cassidy, Bill (R-LA)","$1,638,504"
"Boehner, John (R-OH)","$1,091,182"
"Upton, Fred (R-MI)","$839,371"
"Ryan, Paul (R-WI)","$750,471"
"Price, Tom (R-GA)","$727,898"
"Peters, Gary (D-MI)","$697,651"
"Pallone, Frank Jr (D-NJ)","$693,472"
"Brady, Kevin (R-TX)","$671,427"
"McCarthy, Kevin (R-CA)","$666,350"
"Burgess, Michael (R-TX)","$608,439"
"Pitts, Joe (R-PA)","$591,750"
"Ruiz, Raul (D-CA)","$585,699"
"Gingrey, Phil (R-GA)","$551,460"
"Cantor, Eric (R-VA)","$546,232"
"Bera, Ami (D-CA)","$542,944"
"Blackburn, Marsha (R-TN)","$518,450"
"Camp, Dave (R-MI)","$508,750"
"Hoyer, Steny H (D-MD)","$505,670"
"Paulsen, Erik (R-MN)","$505,448"
"Kingston, Jack (R-GA)","$499,849"
"Barrow, John (D-GA)","$487,840"
"Guthrie, Brett (R-KY)","$481,057"
"Roskam, Peter (R-IL)","$476,560"
"Kind, Ron (D-WI)","$472,775"
"Gardner, Cory (R-CO)","$466,008"
"Cotton, Tom (R-AR)","$446,858"
"Braley, Bruce (D-IA)","$431,809"
"Walden, Greg (R-OR)","$431,448"
"Ellmers, Renee (R-NC)","$429,853"
"Shimkus, John (R-IL)","$426,650"
"Boustany, Charles Jr (R-LA)","$420,590"
"Heck, Joe (R-NV)","$416,944"
"Capito, Shelley Moore (R-WV)","$408,107"
"Buchanan, Vernon (R-FL)","$401,218"
"Harris, Andy (R-MD)","$375,704"
"Schock, Aaron (R-IL)","$353,150"
"Tiberi, Pat (R-OH)","$342,850"
"Sessions, Pete (R-TX)","$342,400"
"Murphy, Tim (R-PA)","$339,910"
"Capps, Lois (D-CA)","$336,234"
"Whitfield, Ed (R-KY)","$334,151"
"Thompson, Mike (D-CA)","$324,555"
"Eshoo, Anna (D-CA)","$323,059"
"Becerra, Xavier (D-CA)","$320,800"
"Rodgers, Cathy McMorris (R-WA)","$313,520"
"Scalise, Steve (R-LA)","$313,400"
"Pascrell, Bill Jr (D-NJ)","$311,192"
"Bilirakis, Gus (R-FL)","$311,029"
"Pompeo, Mike (R-KS)","$308,750"
"Reed, Tom (R-NY)","$305,702"
"Lankford, James (R-OK)","$304,560"
"Jenkins, Lynn (R-KS)","$303,758"
"Young, Todd (R-IN)","$301,700"
"Black, Diane (R-TN)","$299,619"
"Crowley, Joseph (D-NY)","$296,700"
"Israel, Steve (D-NY)","$291,660"
"Peters, Scott (D-CA)","$290,200"
"Pelosi, Nancy (D-CA)","$289,150"
"Clyburn, James E (D-SC)","$283,410"
"Fleming, John (R-LA)","$282,127"
"Dent, Charlie (R-PA)","$281,950"
"Nunes, Devin (R-CA)","$279,050"
"Stivers, Steve (R-OH)","$274,210"
"Matheson, Jim (D-UT)","$256,177"
"Lance, Leonard (R-NJ)","$254,275"
"Neal, Richard E (D-MA)","$250,949"
"Terry, Lee (R-NE)","$249,146"
"Benishek, Dan (R-MI)","$246,900"
"Grisham, Michelle Lujan (D-NM)","$243,166"
"DeGette, Diana (D-CO)","$238,249"
"Murphy, Patrick (D-FL)","$237,900"
"Larson, John B (D-CT)","$233,700"
"Barber, Ron (D-AZ)","$227,592"
"Duckworth, Tammy (D-IL)","$224,570"
"Green, Gene (D-TX)","$221,144"
"Davis, Rodney (R-IL)","$219,740"
"Maffei, Dan (D-NY)","$219,651"
"Daines, Steven (R-MT)","$218,716"
"Gerlach, Jim (R-PA)","$217,774"
"Southerland, Steve (R-FL)","$215,450"
"Johnson, Bill (R-OH)","$215,119"
"McKinley, David (R-WV)","$213,580"
