Candidate,Amount
"Sanders, Bernie (D-VT)","$5,479,305"
"Schumer, Charles E (D-NY)","$1,555,962"
"Cruz, Ted (R-TX)","$1,374,359"
"Rubio, Marco (R-FL)","$1,292,426"
"Bennet, Michael (D-CO)","$1,149,141"
"Portman, Rob (R-OH)","$740,246"
"Ayotte, Kelly (R-NH)","$635,528"
"Murray, Patty (D-WA)","$613,805"
"Blumenthal, Richard (D-CT)","$593,754"
"Wyden, Ron (D-OR)","$511,189"
"Paul, Rand (R-KY)","$503,704"
"Leahy, Patrick (D-VT)","$502,981"
"Johnson, Ron (R-WI)","$497,555"
"Blunt, Roy (R-MO)","$496,325"
"Thune, John (R-SD)","$476,513"
"Toomey, Pat (R-PA)","$465,133"
"McCain, John (R-AZ)","$403,008"
"Burr, Richard (R-NC)","$359,590"
"Kaine, Tim (D-VA)","$356,600"
"Schatz, Brian (D-HI)","$355,167"
"Grassley, Chuck (R-IA)","$353,770"
"Lee, Mike (R-UT)","$343,225"
"Scott, Tim (R-SC)","$239,550"
"Moran, Jerry (R-KS)","$214,615"
"Nelson, Bill (D-FL)","$209,609"
"Isakson, Johnny (R-GA)","$205,800"
"Franken, Al (D-MN)","$197,556"
"Hatch, Orrin G (R-UT)","$193,300"
"Booker, Cory (D-NJ)","$184,853"
"Klobuchar, Amy (D-MN)","$176,851"
"Gillibrand, Kirsten (D-NY)","$169,817"
"Boozman, John (R-AR)","$166,450"
"Kirk, Mark (R-IL)","$157,018"
"Graham, Lindsey (R-SC)","$150,990"
"Crapo, Mike (R-ID)","$142,740"
"Warren, Elizabeth (D-MA)","$119,502"
"Murkowski, Lisa (R-AK)","$118,400"
"Stabenow, Debbie (D-MI)","$109,415"
"Hoeven, John (R-ND)","$107,800"
"Heller, Dean (R-NV)","$105,050"
"Fischer, Deb (R-NE)","$104,700"
"Udall, Tom (D-NM)","$103,645"
"Warner, Mark (D-VA)","$102,650"
"Feinstein, Dianne (D-CA)","$93,950"
"Lankford, James (R-OK)","$90,550"
"Gardner, Cory (R-CO)","$87,500"
"Flake, Jeff (R-AZ)","$77,375"
"Manchin, Joe (D-WV)","$76,000"
"McConnell, Mitch (R-KY)","$75,550"
"Casey, Bob (D-PA)","$75,161"
"Shelby, Richard C (R-AL)","$74,200"
"Murphy, Christopher S (D-CT)","$71,821"
"Tester, Jon (D-MT)","$69,735"
"Brown, Sherrod (D-OH)","$67,548"
"Heinrich, Martin (D-NM)","$66,244"
"Tillis, Thom (R-NC)","$61,030"
"Baldwin, Tammy (D-WI)","$58,622"
"McCaskill, Claire (D-MO)","$58,235"
"Whitehouse, Sheldon (D-RI)","$57,561"
"Markey, Ed (D-MA)","$56,075"
"Perdue, David (R-GA)","$54,647"
"Wicker, Roger (R-MS)","$52,000"
"Menendez, Robert (D-NJ)","$50,678"
"Hirono, Mazie K (D-HI)","$48,712"
"Coons, Chris (D-DE)","$47,186"
"Carper, Tom (D-DE)","$46,460"
"Cornyn, John (R-TX)","$45,700"
"Donnelly, Joe (D-IN)","$44,959"
"Peters, Gary (D-MI)","$44,282"
"King, Angus (I-ME)","$44,075"
"Heitkamp, Heidi (D-ND)","$42,995"
"Daines, Steven (R-MT)","$40,450"
"Cochran, Thad (R-MS)","$39,900"
"Ernst, Joni (R-IA)","$39,675"
"Sasse, Ben (R-NE)","$33,800"
"Cantwell, Maria (D-WA)","$31,877"
"Shaheen, Jeanne (D-NH)","$28,991"
"Merkley, Jeff (D-OR)","$27,309"
"Barrasso, John A (R-WY)","$24,550"
"Cassidy, Bill (R-LA)","$24,200"
"Cardin, Ben (D-MD)","$24,000"
"Durbin, Dick (D-IL)","$22,739"
"Sullivan, Dan (R-AK)","$21,750"
"Cotton, Tom (R-AR)","$21,375"
"Reed, Jack (D-RI)","$20,000"
"Alexander, Lamar (R-TN)","$17,200"
"Roberts, Pat (R-KS)","$16,000"
