Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
3,Darrell Issa (R-Calif),"$229,650,030","$436,500,015","$643,350,000",House
4,Jared Polis (D-Colo),"$184,536,463","$387,864,231","$591,191,999",House
5,Mark Warner (D-Va),"$90,848,261","$242,889,630","$394,931,000",Senate
6,John K Delaney (D-Md),"$86,498,177","$214,902,588","$343,306,999",House
7,Michael McCaul (R-Texas),"$119,239,810","$160,340,931","$201,442,053",House
8,Vernon Buchanan (R-Fla),"-$19,340,847","$106,912,071","$233,164,989",House
9,Nancy Pelosi (D-Calif),"$9,761,059","$101,273,023","$192,784,988",House
10,Dianne Feinstein (D-Calif),"$49,183,119","$94,202,571","$139,222,023",Senate
12,Richard Blumenthal (D-Conn),"$65,384,277","$81,745,158","$98,106,040",Senate
13,Diane Black (R-Tenn),"$1,446,174","$77,755,592","$154,065,011",House
14,Dave Trott (R-Mich),"$29,697,155","$76,336,575","$122,975,995",House
15,Claire McCaskill (D-Mo),"$57,501,677","$75,561,854","$93,622,031",Senate
16,Suzan DelBene (D-Wash),"$31,019,104","$74,302,052","$117,585,000",House
17,Scott Peters (D-Calif),"$39,631,083","$72,913,546","$106,196,010",House
19,Chris Collins (R-NY),"$23,867,028","$65,949,514","$108,032,000",House
20,Alan Grayson (D-Fla),"$14,858,047","$60,090,023","$105,321,999",House
21,Jim Renacci (R-Ohio),"$31,571,597","$58,582,298","$85,593,000",House
22,James E Risch (R-Idaho),"$18,587,052","$53,400,024","$88,212,996",Senate
23,Thomas MacArthur (R-NJ),"$5,995,906","$52,903,452","$99,810,999",House
24,Rodney Frelinghuysen (R-NJ),"$24,726,209","$52,884,604","$81,043,000",House
25,Don Beyer (D-Va),"$16,652,035","$48,716,014","$80,779,993",House
26,Roger Williams (R-Texas),"$17,915,037","$46,309,515","$74,703,993",House
27,John Hoeven (R-ND),"$17,538,081","$45,570,040","$73,602,000",Senate
28,Bob Corker (R-Tenn),"$13,975,064","$45,475,031","$76,974,999",Senate
29,Joe Kennedy III (D-Mass),"$19,433,267","$43,183,132","$66,932,998",House
30,Fred Upton (R-Mich),"$17,332,186","$42,743,592","$68,154,999",House
31,Ron Johnson (R-Wis),"$13,451,014","$36,783,507","$60,116,000",Senate
32,Nita M Lowey (D-NY),"$13,031,023","$36,123,011","$59,215,000",House
33,David Perdue (R-Ga),"$17,281,203","$33,681,601","$50,082,000",Senate
34,Scott Rigell (R-Va),"$12,895,064","$33,287,032","$53,679,000",House
35,Trent Franks (R-Ariz),"$11,100,004","$33,175,002","$55,250,000",House
38,Richard Hanna (R-NY),"$16,127,164","$29,111,082","$42,095,000",House
39,John Fleming (R-La),"$10,905,058","$29,072,527","$47,239,997",House
40,Carolyn B Maloney (D-NY),"$9,148,018","$26,522,008","$43,895,999",House
41,Lloyd Doggett (D-Texas),"$12,694,065","$26,152,032","$39,609,999",House
43,Johnny Isakson (R-Ga),"$9,505,023","$24,923,011","$40,341,000",Senate
45,F James Sensenbrenner Jr (R-Wis),"$20,467,690","$24,387,663","$28,307,637",House
46,Steve Pearce (R-NM),"$7,732,015","$22,206,507","$36,681,000",House
47,Mitch McConnell (R-Ky),"$9,447,058","$22,164,529","$34,882,000",Senate
48,Richard W Allen (R-Ga),"$6,939,017","$21,412,007","$35,884,998",House
49,Bill Foster (D-Ill),"$8,321,034","$20,443,017","$32,565,000",House
50,John McCain (R-Ariz),"$14,150,132","$19,642,067","$25,134,002",Senate
51,Tom Rooney (R-Fla),"$7,427,110","$19,115,055","$30,803,000",House
52,Curt Clawson (R-Fla),"$5,113,043","$18,797,020","$32,480,997",House
53,John A Yarmuth (D-Ky),"$5,458,058","$18,664,028","$31,869,998",House
